=== finance cron started 2026-07-28 21:02:15 UTC ===
watchlist: /home/pigo/Documents/Agent/finance-watchlist.json (31 tickers)
[1/4] Fetching quotes (US=stocksdk, TW=google)...
  [1/31] 2330:TPE (google) → TWD 2280.0
  [2/31] 2317:TPE (google) → TWD 238.0
  [3/31] 2303:TPE (google) → TWD 113.5
  [4/31] 2454:TPE (google) → TWD 3315.0
  [5/31] 2881:TPE (google) → TWD 125.5
  [6/31] 2882:TPE (google) → TWD 95.4
  [7/31] 2308:TPE (google) → TWD 1580.0
  [8/31] 2597:TPE (google) → TWD 161.0
  [9/31] 4104:TPE (google) → TWD 70.8
  [10/31] 2409:TPE (google) → TWD 23.9
  [11/31] 8131:TPE (google) → TWD 58.2
  [12/31] 2891:TPE (google) → TWD 62.4
  [13/31] 1303:TPE (google) → TWD 157.0
  [14/31] 2886:TPE (google) → TWD 49.45
  [15/31] 1723:TPE (google) → TWD 83.8
  [16/31] 2301:TPE (google) → TWD 194.0
  [17/31] 4533:TPE (google) → TWD 97.15
  [18/31] 2002:TPE (google) → TWD 19.0
  [19/31] 2201:TPE (google) → TWD 27.3
  [20/31] AAPL:NASDAQ (stocksdk) → USD 340.08
  [21/31] MSFT:NASDAQ (stocksdk) → USD 393.35
  [22/31] GOOGL:NASDAQ (stocksdk) → USD 333.71
  [23/31] AMZN:NASDAQ (stocksdk) → USD 230.86
  [24/31] META:NASDAQ (stocksdk) → USD 593.41
  [25/31] NVDA:NASDAQ (stocksdk) → USD 197.01
  [26/31] TSLA:NASDAQ (stocksdk) → USD 307.44
  [27/31] NFLX:NASDAQ (stocksdk) → USD 72.39
  [28/31] ORCL:NYSE (stocksdk) → USD 119.96
  [29/31] PLTR:NYSE (stocksdk) → USD 123.53
  [30/31] TSM:NYSE (stocksdk) → USD 392.31
  [31/31] LITE:NASDAQ (stocksdk) → USD 651.93
